date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-05-06,-0.026564,0.106284,0.152532,0.047625,0.163974,0.138633,-0.021529,0.041022,0.215057,0.224353
2020-05-07,0.140168,0.098882,0.182095,-0.093063,0.163815,0.017405,0.097272,0.261645,0.240682,0.143643
2020-05-08,0.150994,0.068554,0.191528,0.054173,-0.024708,0.027653,0.063679,0.199092,0.442209,0.082878
2020-05-11,0.128943,0.086025,-0.05607,0.161149,0.029247,0.286692,0.056902,0.091074,0.128267,0.190412
2020-05-12,0.068945,0.100199,0.151845,-0.14783,-0.073954,0.024778,0.055973,-0.29967,-0.0453,0.159517
2020-05-13,0.024144,0.068792,-0.062305,0.158649,0.119217,-0.014756,0.128365,0.21844,0.095422,0.294741
2020-05-14,0.171253,0.129312,-0.07579,0.09045,0.122988,0.043791,0.114235,0.158367,0.154292,0.172935
2020-05-15,0.098457,0.082503,0.175802,0.197642,-0.007058,-0.032895,0.222226,-0.001283,-0.012865,0.166855
2020-05-18,0.146469,0.20182,0.143126,0.070144,0.110989,0.385534,0.106797,0.482936,0.015537,0.31219
2020-05-19,0.129557,-0.072486,0.145881,0.059997,0.220874,-0.031965,0.066956,0.257029,0.054217,0.281552
2020-05-20,-0.005675,-0.026941,-0.022844,0.37486,0.13237,0.119327,0.13718,0.06369,0.237002,0.126714
2020-05-21,0.108472,0.024797,-0.04974,0.081625,0.093502,0.0645,0.150983,0.055445,0.012136,0.307131
2020-05-22,-0.05059,0.025326,-0.044225,0.19457,0.127765,0.118903,0.091334,0.09517,-0.170014,0.226791
2020-05-26,0.137805,0.203289,0.101771,0.16174,0.036722,0.3014,0.166325,0.083792,0.064292,0.277373
2020-05-27,0.150163,0.153084,-0.029187,0.277483,-0.01726,0.355189,0.041409,0.067124,0.156823,0.203434
2020-05-28,0.095344,0.087925,0.14303,0.013584,-0.062032,0.131177,0.127,0.180249,0.10205,0.141915
2020-05-29,0.10081,0.080727,0.13018,0.041302,0.158324,0.184233,0.101276,0.046253,0.135827,0.170973
2020-06-01,0.159723,0.081224,-0.02466,0.063421,0.175463,0.113715,0.05464,-0.079774,0.140877,0.054453
2020-06-02,0.173577,-0.116547,0.082955,0.089989,0.021175,0.365932,0.219765,-0.000173,0.219347,0.131285
2020-06-03,-0.072697,0.197954,0.477132,0.216184,0.254027,0.335037,0.12638,0.0872,0.25868,0.066723
2020-06-04,0.160185,0.275595,0.077036,0.177588,0.102827,0.209079,-0.0256,0.0592,0.125261,-0.036432
2020-06-05,0.158804,0.282184,0.255537,0.373024,0.119529,0.35077,0.159845,0.0,0.178768,-0.006982
2020-06-08,-0.113092,0.162587,0.129711,0.205836,0.055461,0.077589,0.026358,0.10444,0.095853,0.310162
2020-06-09,-0.102856,0.054423,0.411489,0.101312,0.024446,0.194168,0.10189,0.113961,0.296642,0.26165
2020-06-10,0.00957,-0.022499,-0.155789,0.149203,0.09912,0.122828,0.0887,0.104124,0.008561,0.190991
2020-06-11,0.006904,0.049953,-0.098045,0.079971,0.21064,0.108451,0.103728,0.151421,0.212795,0.189227
2020-06-12,0.059682,0.072654,0.02737,0.06138,0.113226,-0.029161,0.10095,0.135617,0.122319,0.16397
2020-06-15,0.021924,0.008546,-0.105631,0.041478,0.170326,0.011866,0.142522,0.158252,0.179457,0.311817
2020-06-16,0.09305,0.192131,0.130826,0.054284,0.055107,0.128297,0.076506,0.163144,0.173846,0.303235
2020-06-17,0.128278,0.176891,0.023367,-0.025888,-0.144966,0.040507,-0.021129,0.063956,0.06683,0.048524
2020-06-18,0.002343,0.069083,0.036587,-0.09982,0.215723,-0.001918,0.0,0.21983,0.189032,0.08632
2020-06-19,0.118281,0.007802,0.207614,-0.134717,0.2064,0.102439,-0.04526,0.191373,0.001593,0.12854
2020-06-22,0.140017,0.046423,0.205336,-0.096565,0.272007,0.090013,0.002539,0.1666,0.179736,-0.066983
2020-06-23,0.098578,0.176503,0.184731,0.055013,0.114083,0.171598,0.04588,0.13707,0.073622,0.05464
2020-06-24,0.102741,0.015461,-0.189821,0.07491,0.112303,-0.034453,0.039941,0.000921,-0.112417,0.027027
2020-06-25,0.084808,0.087629,0.114104,-0.010287,0.095387,-0.068765,0.115151,0.000801,-0.278046,0.041409
2020-06-26,0.226423,0.167054,0.068212,0.0104,-0.011083,-0.125573,0.137975,-0.050928,-0.171916,0.068
2020-06-29,0.020961,0.046553,-0.010215,0.135961,0.167875,-0.02725,0.04526,-0.047661,0.078642,0.059197
2020-06-30,0.111463,0.057023,0.081096,0.034919,0.084657,-0.063093,0.04046,0.14436,0.161337,0.034
2020-07-01,-0.010787,-0.100742,0.09503,-0.154192,0.196302,0.130793,0.04046,0.125673,0.096495,0.1408
2020-07-02,0.005602,0.161906,0.178678,0.07885,0.14839,-0.051208,0.035222,-0.0256,0.18029,0.340571
2020-07-06,0.044344,0.001223,0.128364,0.0398,0.092759,0.008783,-0.015107,-0.06364,0.062823,0.143915
2020-07-07,0.08076,0.097571,0.015791,0.003859,0.113745,0.007925,-0.013151,0.041368,0.200132,-0.004442
2020-07-08,-0.07228,0.184757,0.114826,0.207262,0.164703,0.134395,0.1511,-0.035637,0.07044,-0.057802
2020-07-09,0.041407,0.086168,0.14581,0.143423,0.076824,0.065634,0.031967,-0.104362,0.111814,0.10534
2020-07-10,-0.004037,0.007357,0.177947,0.04296,0.220272,-0.045891,0.017611,-0.075412,0.002646,0.14728
2020-07-13,0.023064,0.167008,0.284956,0.031277,0.05238,0.254115,0.015331,-0.06565,0.266164,0.0162
2020-07-14,0.032317,0.081581,0.229105,0.009122,0.22699,0.093593,0.013347,0.011701,0.088662,0.098955
2020-07-15,0.057753,0.127628,-0.057248,0.296224,0.195556,0.16625,0.011619,0.00857,0.064286,0.3174
2020-07-16,0.130653,0.173962,0.162631,0.102521,0.154231,0.033914,0.01032,0.007461,-0.005257,0.11438
2020-07-17,0.018441,0.095832,0.004228,-0.02405,-0.101488,0.047544,0.008984,0.006495,-0.033225,0.291394
2020-07-20,0.110511,0.099303,0.083811,0.072009,0.082468,0.169669,0.007821,0.005654,0.103366,0.094544
2020-07-21,0.175997,0.216076,0.247938,0.144007,0.194741,0.162168,0.006809,0.022538,0.191131,0.112637
2020-07-22,0.148627,0.091004,0.158025,0.044206,0.378567,0.000587,0.060567,0.049491,0.135016,0.098056
2020-07-23,-0.11883,0.048864,0.018157,0.010518,-0.0666,0.265708,0.007454,0.07255,0.189574,0.101373
2020-07-24,-0.080521,-0.008541,0.170935,-0.01097,0.164015,0.252525,0.101401,0.051537,0.198374,0.208667
2020-07-27,-0.014844,0.090079,0.027834,0.135962,-0.003666,0.212666,0.019756,0.149365,0.131973,0.032707
2020-07-28,-0.006413,0.092308,0.078226,0.04396,0.0381,0.136061,0.113295,0.13003,0.054114,0.109207
2020-07-29,-0.046059,0.042265,0.24017,0.067444,0.138288,0.137378,0.045105,0.10453,0.186702,0.156231
2020-07-30,0.063988,0.107411,0.058043,0.164128,0.083067,0.075327,0.0039,-0.09534,0.033039,0.142609
2020-07-31,0.100604,0.02928,-0.004654,0.04689,0.126292,-0.010028,0.034252,0.034182,0.100738,0.147846
2020-08-03,0.242384,0.050338,0.101918,0.05421,0.050586,-0.11562,0.300226,-0.01032,0.110878,0.205947
2020-08-04,0.088775,0.205376,0.101079,0.028712,0.015105,-0.068149,0.195078,-0.068924,0.097288,0.241726
2020-08-05,0.182617,0.020249,0.187059,0.071518,-0.05238,0.120222,0.041267,0.021779,0.068238,0.019923
2020-08-06,0.134178,0.060406,0.164637,0.0025,0.212523,0.18304,0.198819,0.0,0.022785,0.062395
2020-08-07,0.104437,0.117405,0.029141,-0.048983,0.250336,0.051493,0.173082,0.27158,0.134571,0.023653
2020-08-10,0.236903,0.099894,0.19687,0.269683,0.157289,-0.02559,0.186883,0.210656,0.097224,0.019377
2020-08-11,0.208104,0.081221,0.179734,0.163805,0.103222,0.018994,0.078651,0.186374,0.180171,0.169376
2020-08-12,0.123728,0.036697,0.162713,0.076419,0.04046,0.012625,0.06847,0.092273,-0.059202,0.02732
2020-08-13,0.094281,0.053422,0.145285,-0.093803,-0.13394,-0.098041,0.059607,0.080328,0.043084,0.023783
2020-08-14,-0.06364,0.102229,0.177065,0.029559,0.035222,0.008365,0.023238,0.07636,0.223439,0.25476
2020-08-17,0.126587,0.181203,-0.06192,0.11263,0.28033,0.030078,0.20673,0.12738,-0.000822,0.300401
2020-08-18,0.121327,0.084194,0.011273,0.113427,0.019524,0.182294,0.142198,0.222771,0.032919,0.353034
2020-08-19,0.105621,0.151429,0.053013,0.085381,0.153961,0.09804,0.123791,0.0,0.015463,0.307334
2020-08-20,0.071872,0.072577,0.047896,0.172369,0.04426,0.094006,0.107766,0.0,-0.062154,0.18508
2020-08-21,0.093718,0.23627,0.045533,0.206883,0.045366,-0.03522,0.068216,0.033747,0.05094,0.232794
2020-08-24,0.007904,0.078993,0.079976,0.361587,0.18137,0.245522,0.065844,-0.02054,0.086034,0.029076
2020-08-25,0.005936,0.049408,0.063615,0.280339,0.188966,0.1547,0.041142,0.05,0.04122,0.006605
2020-08-26,0.098772,0.125159,0.114751,0.159651,0.117564,-0.105765,0.12599,0.09176,0.092054,0.246362
2020-08-27,0.106935,-0.025801,0.023625,0.039367,0.112959,0.071603,0.058144,0.19455,0.078865,0.116931
